Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
T-shirt dresses, Green Sequin Slip Dress with Thigh-High Slits, Songstress, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, red Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Viking Braid, asymmetrical breasts, Hoop earrings, brown matte lipstick, (peek-a-boo):1.6, (bra outline):1.2
Sophisticated jumpsuit with a jacket, Purple Velvet Slip with Lace Trim, Babe, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, black Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, large breasts, Threader earrings, fuchsia velvet lipstick, (peek-a-boo):1.9, (bra outline):0.7
Sleeveless jumpsuit with a longline vest and platform sandals, Fuchsia Mesh Halter Bra and Panty Set, Enigma, Tall, Athletic, Triangular Face, Dark Skin, Red Hair, coral Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Bouncy Curls, small breasts, Huggie earrings, red sheer lipstick, (peek-a-boo):1.5, (bra outline):1.3
Shift dress with a blazer, Black Leather Bralette and Panty Set, Baroness, Short, Skinny, Heart-Shaped Face, Tan Skin, Auburn Hair, Blue Eyes with Green Flecks, Wide Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, French Roll, round breasts, Dangle earrings, mauve stain lipstick, (peek-a-boo):1.8, (bra outline):0.8
Tailored dress with cardigan, Brown Strappy Bodysuit, Female Viking, Tall, Thin, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Gray Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Long Wavy Hair, augmented breasts, Cuff earrings, orange matte lipstick, (peek-a-boo):1.1, (bra outline):1.2
Button-front midi skirt with a ribbed knit top and kitten heels, Maroon Satin and Lace Corset , Songstress, Short, Narrow Hips, Oval Face, Olive Skin, Light Brown Hair, brown Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, French Twist, round breasts, Huggie earrings, coral stain lipstick, (peek-a-boo):1.0, (bra outline):0.7
Spaghetti strap dresses, Brown Strappy Bodysuit, Female Viking, Tall, Slim, Round Face, Olive Skin, Gray Hair, hazel Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, large breasts, Stud earrings, coral stain lipstick, (peek-a-boo):1.4, (bra outline):1.1
Wide-legged dress pants with a colorful blouse, Charcoal Sheer Bra and Panty Set, Duchess, Short, Toned, Heart-Shaped Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Beach Waves, augmented breasts, Drop earrings, rust velvet lipstick, (peek-a-boo):1.1, (bra outline):0.8
Maxi dresses, White Lace Bralette and Boyshorts Set, Babe, Short, Toned, Round Face, Dark Skin, Red Hair, Green Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Straight Bob, asymmetrical breasts, Threader earrings, grape sheer lipstick, (peek-a-boo):1.1, (bra outline):0.8
Long-sleeved midi dress with a belt and structured blazer, Purple Velvet Slip with Lace Trim, Mistress, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Blonde Hair, Amber Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Middle Part Bangs, large breasts, Faux gauge earrings, light pink cream lipstick, (peek-a-boo):1.9, (bra outline):1.3
Rompers, Green Satin and Lace Garter Belt with Matching Thong, Gal, Tall, Wide Hips, Heart-Shaped Face, Olive Skin, Auburn Hair, coral Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Wavy Layered Bob, saggy breasts, Stud earrings, rust cream lipstick, (peek-a-boo):1.2, (bra outline):0.7
Sleeveless dresses, Orange Satin Slip, Madam, Short, Wide Hips, Round Face, Olive Skin, Red Hair, hazel Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Side-Swept Bangs, large breasts, Faux gauge earrings, magenta cream lipstick, (peek-a-boo):2.0, (bra outline):1.1
Fit-and-flare dresses, Teal Velvet Chemise with Ruffles , Madame, Average Height, Lean, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, saggy breasts, Hoop earrings, rust gloss lipstick, (peek-a-boo):1.4, (bra outline):0.7
Sundresses, Red Mesh Chemise with Strappy Back Detail, Enigma, Tall, Narrow Hips, Diamond-Shaped Face, Dark Skin, Gray Hair, light blue Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Updo, natural breasts, Cuff earrings, teal metallic lipstick, (peek-a-boo):1.4, (bra outline):1.2
Sleeveless dresses, White Lace Bralette and Boyshorts Set, Countess, Tall, Wide Hips, Triangular Face, Dark Skin, Strawberry Blonde Hair, aquamarine Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Updo, asymmetrical breasts, Stud earrings, coral sheer lipstick, (peek-a-boo):1.0, (bra outline):1.1
Midi dresses, Yellow Lace Halter Bralette and Thong Set, Songstress, Short, Thin, Square Face, Dark Skin, Light Brown Hair, black Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Braided Half Up, full breasts, beige stain lipstick, (peek-a-boo):1.4, (bra outline):1.3
Short dresses, Purple Mesh Babydoll with Matching G-String, Woman, Short, in shape, Diamond-Shaped Face, Olive Skin, Light Brown Hair, ruby Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, High Chignon, saggy breasts, Drop earrings, light pink metallic lipstick, (peek-a-boo):1.6, (bra outline):0.9
Silk wrap dress with a fitted blazer, Black Leather Bralette and Panty Set, Countess, Tall, Skinny, Heart-Shaped Face, Fair Skin, Black Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sock Bun, asymmetrical breasts, Clip-on earrings, light pink sheer lipstick, (peek-a-boo):1.9, (bra outline):0.9
Shift dress with a blazer, Purple Velvet Robe with Fur Trim , Gal, Tall, Lean, Square Face, Tan Skin, White Hair, amethyst Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Low Messy Bun, asymmetrical breasts, Clip-on earrings, magenta matte lipstick, (peek-a-boo):1.6, (bra outline):0.9
Maxi dresses, White Sheer Teddy with Lace Trim, Chanteuse, Tall, Wide Hips, Square Face, Dark Skin, Strawberry Blonde Hair, silver Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Messy Beach Waves, augmented breasts, Faux gauge earrings, teal satin lipstick, (peek-a-boo):1.1, (bra outline):0.8
High-waisted pants with a tucked-in blouse and statement necklace, Cream Sequin Bra and Pant Set, Heiress, Short, Slim, Triangular Face, Tan Skin, Honey Blonde Hair, yellow Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Shaggy Cut, perky breasts, rose velvet lipstick, (peek-a-boo):1.5, (bra outline):1.0
Shift dresses, Cream Sequin Bra and Pant Set, Mistress, Short, Slim, Oval Face, Dark Skin, Brunette Hair, brown Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Curled Bob, firm breasts, Huggie earrings, terracotta satin lipstick, (peek-a-boo):1.7, (bra outline):1.1
Long-sleeve dresses, Pink Lace Garter Slip with Matching Thong, Madam, Short, Athletic, Round Face, Olive Skin, Light Brown Hair, jade Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Beach Waves, soft breasts, Faux gauge earrings, terracotta stain lipstick, (peek-a-boo):1.5, (bra outline):1.2
Caftans, Mint Green Mesh Teddy , Empress, Average Height, Athletic, Oval Face, Dark Skin, White Hair, green Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Curled Bob, asymmetrical breasts, Huggie earrings, pink sheer lipstick, (peek-a-boo):2.0, (bra outline):0.9
Maxi dresses, Green Satin Robe with Lace Trim, Belle, Tall, Toned, Square Face, Olive Skin, Black Hair, blue Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Long Curled Updo, full breasts, grape matte lipstick, (peek-a-boo):1.9, (bra outline):1.1
Silk wrap dress with a fitted blazer, Purple Velvet Robe with Fur Trim , Mistress, Average Height, Thin, Round Face, Tan Skin, Blonde Hair, Brown Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Long Curly Hair, soft breasts, Threader earrings, hot pink gloss lipstick, (peek-a-boo):1.7, (bra outline):0.9
Sleeveless dresses, Black Leather Bralette and Panty Set, Gal, Average Height, Skinny, Oval Face, Olive Skin, Dark Brown Hair, brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Messy Beach Waves, round breasts, Stud earrings, grape gloss lipstick, (peek-a-boo):1.4, (bra outline):1.2
Classic black blazer with matching pants, Green Sequin Slip Dress with Thigh-High Slits, Enchantress, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Auburn Hair, purple Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Voluminous Waves, round breasts, Dangle earrings, plum satin lipstick, (peek-a-boo):1.6, (bra outline):0.9
Flared pants with a matching blazer and pointy-toe flats, Mint Green Mesh Teddy , Siren, Short, Skinny, Square Face, Dark Skin, Golden Blonde Hair, red Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Triple Braided Crown, round breasts, Threader earrings, beige satin lipstick, (peek-a-boo):1.5, (bra outline):1.1
Flared pants with a matching blazer and pointy-toe flats, Crimson Velvet Cami and Short Set , Belle, Tall, in shape, Square Face, Dark Skin, Chestnut Hair, Hazel Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Tousled Waves, firm breasts, light pink matte lipstick, (peek-a-boo):1.0, (bra outline):1.1
Spaghetti strap dresses, Black Sheer Teddy with Floral Applique, Maven, Tall, Athletic, Square Face, Dark Skin, Dark Brown Hair, peach Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Sock Bun, asymmetrical breasts, Faux gauge earrings, black cream lipstick, (peek-a-boo):1.2, (bra outline):0.8
Cropped ankle pants with a tailored jacket and blouse, Pink Floral Corset, Chanteuse, Short, in shape, Triangular Face, Dark Skin, Golden Blonde Hair, aquamarine Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Long Curly Hair, firm breasts, Huggie earrings, hot pink matte lipstick, (peek-a-boo):1.2, (bra outline):1.1
Bodycon dresses, Pink Lace Garter Slip with Matching Thong, Miss, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Gray Hair, ruby Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, High Chignon, augmented breasts, Dangle earrings, magenta sheer lipstick, (peek-a-boo):1.7, (bra outline):1.2
Sleeveless dresses, Turquoise Sheer Chemise with Cutouts, Belle, Tall, Thin, Square Face, Tan Skin, Black Hair, Gray Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, perky breasts, Hoop earrings, mauve matte lipstick, (peek-a-boo):1.9, (bra outline):0.7
Printed pants with a tucked-in blouse and cropped blazer, Black Mesh Bodysuit with Embroidered Flowers, Heiress, Tall, Firm, Heart-Shaped Face, Tan Skin, White Hair, Brown Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Curled Bob, augmented breasts, Huggie earrings, rust metallic lipstick, (peek-a-boo):1.4, (bra outline):1.0
A-line midi skirt with a silk blouse and pumps, Red Satin Kimono with Lace Sleeve Detail, Female Warrior, Short, Skinny, Round Face, Fair Skin, Dark Brown Hair, red Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Wavy Hair, Fishbone Braid, saggy breasts, Dangle earrings, magenta gloss lipstick, (peek-a-boo):1.5, (bra outline):0.8
Tailored dress with cardigan, Red Mesh Chemise with Strappy Back Detail, Vixen, Average Height, Skinny, Triangular Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Bun, augmented breasts, Clip-on earrings, brown satin lipstick, (peek-a-boo):1.9, (bra outline):0.8
Sundresses, Green Sequin Slip Dress with Thigh-High Slits, Femme fatale, Tall, Firm, Diamond-Shaped Face, Fair Skin, Light Brown Hair, silver Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Coarse Hair, Long Curly Hair, large breasts, Clip-on earrings, peach matte lipstick, (peek-a-boo):1.9, (bra outline):1.2
Classic black blazer with matching pants, Ivory Lace Teddy, Seductress, Average Height, Toned, Triangular Face, Dark Skin, Auburn Hair, Sapphire Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Curly Hair, Waterfall Braid, large breasts, Clip-on earrings, gloss satin lipstick, (peek-a-boo):1.2, (bra outline):0.7
Shift dress with a blazer, Black Cutout Bodysuit with Zipper, Babe, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Chignon, large breasts, Stud earrings, rust metallic lipstick, (peek-a-boo):2.0, (bra outline):0.7
Sophisticated jumpsuit with a jacket, Green Silk Bralette and Panty Set, Femme fatale, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, light blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, full breasts, Threader earrings, teal cream lipstick, (peek-a-boo):1.1, (bra outline):0.9
Sophisticated jumpsuit with a jacket, Blue Satin and Lace Cami and Short Set, Trailblazer, Short, Thin, Square Face, Fair Skin, Brunette Hair, Gray Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Curly Afro, firm breasts, Stud earrings, light pink sheer lipstick, (peek-a-boo):1.9, (bra outline):1.1
Off-the-shoulder dresses, Purple Velvet Bra and Panty Set with Lace Trim, Starlet, Tall, Narrow Hips, Round Face, Olive Skin, Auburn Hair, red Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Fluffy Afro, augmented breasts, Stud earrings, orange stain lipstick, (peek-a-boo):1.3, (bra outline):1.0
Sleeveless dresses, Yellow Lace Garter Belt , Dame, Short, Fit, Heart-Shaped Face, Fair Skin, Auburn Hair, amber Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wedding Updo, natural breasts, Threader earrings, brown stain lipstick, (peek-a-boo):1.4, (bra outline):1.1
Sleeveless jumpsuit with a longline vest and platform sandals, Purple Velvet Slip with Lace Trim, Starlet, Average Height, Wide Hips, Square Face, Olive Skin, Red Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Wavy Bob, asymmetrical breasts, Drop earrings, lavender matte lipstick, (peek-a-boo):1.4, (bra outline):0.7
Pencil skirt with a tucked-in blouse and blazer, Black Lace Bustier, Trailblazer, Short, Athletic, Square Face, Tan Skin, Blonde Hair, green Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Long Straight Hair, full breasts, Stud earrings, mauve metallic lipstick, (peek-a-boo):1.2, (bra outline):0.7
Midi dresses, Brown Strappy Bodysuit, Female Warrior, Short, in shape, Square Face, Dark Skin, Dark Brown Hair, Blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, asymmetrical breasts, Stud earrings, black stain lipstick, (peek-a-boo):1.3, (bra outline):1.0
Sheath dress with a collarless blazer and statement earrings, Purple Mesh Babydoll with Matching G-String, Femme fatale, Short, Skinny, Round Face, Fair Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Bun, augmented breasts, Cuff earrings, red metallic lipstick, (peek-a-boo):1.3, (bra outline):0.7
Silk wrap dress with a fitted blazer, Charcoal Sheer Bra and Panty Set, Enchantress, Average Height, Fit, Oval Face, Fair Skin, Honey Blonde Hair, Green Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Curly Afro, perky breasts, Cuff earrings, gloss gloss lipstick, (peek-a-boo):2.0, (bra outline):1.2
Silk wrap dress with a fitted blazer, Tan Faux Leather Slip Dress, Sensation, Tall, Wide Hips, Oval Face, Tan Skin, White Hair, ice blue Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, French Twist, small breasts, Faux gauge earrings, cherry metallic lipstick, (peek-a-boo):1.6, (bra outline):1.0
Sleeveless dresses, Red Mesh Chemise with Strappy Back Detail, Femme fatale, Average Height, Thin, Square Face, Tan Skin, Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, French Twist, asymmetrical breasts, Faux gauge earrings, soft pink satin lipstick, (peek-a-boo):1.3, (bra outline):0.9
Midi dresses, Green Satin Robe with Lace Trim, Charmer, Average Height, Lean, Round Face, Fair Skin, Blonde Hair, black Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, French Braid, full breasts, Stud earrings, mauve sheer lipstick, (peek-a-boo):1.6, (bra outline):1.0
Caftans, Green Sequin Slip Dress with Thigh-High Slits, Enchantress, Average Height, Wide Hips, Round Face, Fair Skin, Blonde Hair, Green Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Triple Braided Crown, soft breasts, Hoop earrings, brown gloss lipstick, (peek-a-boo):1.4, (bra outline):0.9
High-waisted pants with a tucked-in blouse and statement necklace, White Sheer Teddy with Lace Trim, Escort, Short, Fit, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, red Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, perky breasts, Threader earrings, lavender matte lipstick, (peek-a-boo):1.6, (bra outline):1.0
Sophisticated jumpsuit with a jacket, Crimson Velvet Cami and Short Set , Siren, Short, Slim, Oval Face, Fair Skin, Auburn Hair, purple Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Donut Bun, natural breasts, Threader earrings, lavender metallic lipstick, (peek-a-boo):1.3, (bra outline):0.8
High-waisted pants with a tucked-in blouse and statement necklace, White Sheer Teddy with Lace Trim, Starlet, Short, Wide Hips, Triangular Face, Olive Skin, Golden Blonde Hair, dark brown Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, French Twist, large breasts, Threader earrings, green cream lipstick, (peek-a-boo):1.9, (bra outline):1.3
Sleeveless dresses, Red Mesh Chemise with Strappy Back Detail, Seductress, Average Height, Slim, Oval Face, Dark Skin, Black Hair, jade Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Messy Bun, large breasts, Clip-on earrings, red matte lipstick, (peek-a-boo):1.4, (bra outline):1.0
Knee-length skirt suit in a neutral color, Blue Sheer Babydoll with Satin Trim, Starlet, Tall, in shape, Square Face, Olive Skin, Brunette Hair, light blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Fishtail Crown Braid, large breasts, Cuff earrings, green stain lipstick, (peek-a-boo):1.5, (bra outline):1.3
Wide-legged dress pants with a colorful blouse, Black Cutout Bodysuit with Zipper, Siren, Tall, Lean, Round Face, Dark Skin, Dark Brown Hair, silver Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Bun, natural breasts, Cuff earrings, magenta gloss lipstick, (peek-a-boo):1.3, (bra outline):1.1
Wrap dresses, Yellow Mesh Bralette and High-Waisted Panty Set, Phenom, Tall, in shape, Round Face, Tan Skin, Auburn Hair, grey-blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Long Straight Hair, natural breasts, Drop earrings, rose satin lipstick, (peek-a-boo):1.2, (bra outline):0.9
Fit-and-flare dresses, Turquoise Sheer Chemise with Cutouts, Femme fatale, Average Height, Fit, Diamond-Shaped Face, Dark Skin, Brunette Hair, black Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, small breasts, Stud earrings, lavender stain lipstick, (peek-a-boo):1.8, (bra outline):1.1
T-shirt dresses, Blue Strappy Bodysuit with Cutouts, Gal, Short, Narrow Hips, Round Face, Fair Skin, Strawberry Blonde Hair, pink Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Bob with Bangs, small breasts, Cuff earrings, orange velvet lipstick, (peek-a-boo):1.9, (bra outline):1.1
Button-front midi skirt with a ribbed knit top and kitten heels, Crimson Velvet Cami and Short Set , Woman, Average Height, Firm, Round Face, Fair Skin, Platinum Blonde Hair, turquoise Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Blunt Bangs, natural breasts, Faux gauge earrings, cream cream lipstick, (peek-a-boo):1.7, (bra outline):0.9
Spaghetti strap dresses, White Sheer Teddy with Lace Trim, Luminary, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Green Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Updo, full breasts, Faux gauge earrings, burgundy metallic lipstick, (peek-a-boo):1.0, (bra outline):0.8
Sheath dress with a collarless blazer and statement earrings, Gold Strappy Bodysuit, Woman, Average Height, Narrow Hips, Square Face, Fair Skin, Auburn Hair, coral Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Low Updo, firm breasts, Cuff earrings, hot pink sheer lipstick, (peek-a-boo):1.1, (bra outline):1.3
Midi dresses, Yellow Lace Halter Bralette and Thong Set, Trailblazer, Tall, Firm, Square Face, Dark Skin, White Hair, black Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Long Curly Hair, firm breasts, Dangle earrings, rust velvet lipstick, (peek-a-boo):1.7, (bra outline):1.1
Jumpsuits, Green Sequin Slip Dress with Thigh-High Slits, Miss, Average Height, Firm, Square Face, Fair Skin, Brunette Hair, aquamarine Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, saggy breasts, Hoop earrings, gloss matte lipstick, (peek-a-boo):1.2, (bra outline):1.3
Sundresses, Purple Mesh Babydoll with Matching G-String, Madame, Short, Lean, Round Face, Tan Skin, Dark Brown Hair, blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Side French Braid, perky breasts, Hoop earrings, cream sheer lipstick, (peek-a-boo):1.2, (bra outline):1.2
Classic black blazer with matching pants, Lavender Lace Bra and Panty Set , Chanteuse, Short, Fit, Oval Face, Olive Skin, Blonde Hair, Brown Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, augmented breasts, Huggie earrings, burgundy gloss lipstick, (peek-a-boo):1.4, (bra outline):0.7
Pencil skirt with a tucked-in blouse and blazer, Ivory Lace Teddy, Miss, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Tousled Waves, asymmetrical breasts, Hoop earrings, mauve matte lipstick, (peek-a-boo):1.9, (bra outline):0.9
Sundresses, Crimson Velvet Cami and Short Set , Vixen, Short, Firm, Triangular Face, Olive Skin, Blonde Hair, Green Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Stacked Bob, augmented breasts, Huggie earrings, coral metallic lipstick, (peek-a-boo):1.6, (bra outline):1.1
Flared pants with a matching blazer and pointy-toe flats, Silver Sequin Bralette, Heiress, Short, Athletic, Square Face, Dark Skin, Golden Blonde Hair, blue Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, High Chignon, asymmetrical breasts, Stud earrings, terracotta stain lipstick, (peek-a-boo):1.9, (bra outline):1.1
Shift dress with a blazer, Turquoise Sheer Chemise with Cutouts, Sensation, Average Height, Fit, Square Face, Tan Skin, Silver Hair, light blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Beach Waves, saggy breasts, Huggie earrings, beige velvet lipstick, (peek-a-boo):1.7, (bra outline):0.9
Long-sleeved midi dress with a belt and structured blazer, Green Satin and Lace Garter Belt with Matching Thong, Charmer, Short, Thin, Heart-Shaped Face, Tan Skin, Black Hair, amethyst Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Sleek Bun, augmented breasts, Cuff earrings, soft pink metallic lipstick, (peek-a-boo):1.6, (bra outline):1.2
Wrap dresses, Black Lace Bustier, Phenom, Tall, Slim, Heart-Shaped Face, Tan Skin, Silver Hair, Green Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Short Afro, augmented breasts, Hoop earrings, cherry metallic lipstick, (peek-a-boo):1.2, (bra outline):1.0
Sleeveless dresses, Fuchsia Mesh Halter Bra and Panty Set, Charmer, Tall, in shape, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Ponytail, large breasts, Faux gauge earrings, brown stain lipstick, (peek-a-boo):1.1, (bra outline):0.8
Pencil skirt with a tucked-in blouse and blazer, Maroon Satin and Lace Corset , Lady, Short, in shape, Heart-Shaped Face, Fair Skin, Black Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Loose Curls, firm breasts, Stud earrings, soft pink matte lipstick, (peek-a-boo):1.6, (bra outline):1.3
A-line midi skirt with a silk blouse and pumps, Lavender Lace Bra and Panty Set , Starlet, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Auburn Hair, green Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Curled Bob, natural breasts, grape sheer lipstick, (peek-a-boo):1.2, (bra outline):0.8
Flared pants with a matching blazer and pointy-toe flats, Blue Strappy Bodysuit with Cutouts, Madam, Short, Lean, Oval Face, Dark Skin, Golden Blonde Hair, Green Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Curled Bob, natural breasts, Stud earrings, grape matte lipstick, (peek-a-boo):1.7, (bra outline):0.7
Sleeveless dresses, Purple Velvet Robe with Fur Trim , Charmer, Short, Athletic, Oval Face, Fair Skin, Strawberry Blonde Hair, Sapphire Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Blunt Cut Bangs, large breasts, Threader earrings, plum cream lipstick, (peek-a-boo):1.6, (bra outline):0.9
Button-front midi skirt with a ribbed knit top and kitten heels, Olive Green Mesh Garter Belt with Stockings, Belle, Average Height, Narrow Hips, Square Face, Dark Skin, Red Hair, purple Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, soft breasts, Cuff earrings, peach gloss lipstick, (peek-a-boo):1.1, (bra outline):1.0
