Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, Submerged in Quicksand
White Lace Bralette and Boyshorts Set, Madame, Tall, Athletic, Oval Face, Dark Skin, Gray Hair, coral Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Layered Bob, natural breasts, Threader earrings, berry matte lipstick, Floating in Foam
Maroon Satin and Lace Corset , Lady, Tall, Lean, Oval Face, Tan Skin, Black Hair, brown Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Braided Headband, firm breasts, Drop earrings, coral cream lipstick, Steeped in Water
Fuchsia Mesh Halter Bra and Panty Set, Starlet, Tall, Thin, Diamond-Shaped Face, Tan Skin, Gray Hair, peach Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, asymmetrical breasts, Huggie earrings, cream matte lipstick, Floating in Bubble solution
Tan Faux Leather Slip Dress, Woman, Average Height, Thin, Oval Face, Dark Skin, Light Brown Hair, light blue Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, High Chignon, large breasts, Huggie earrings, orange stain lipstick, Surrounded by Syrup
Green Sequin Slip Dress with Thigh-High Slits, Empress, Short, Athletic, Round Face, Olive Skin, Dark Brown Hair, green Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Fine Hair, Messy Bun, asymmetrical breasts, Clip-on earrings, red satin lipstick, Marinating in Water
Red Mesh Chemise with Strappy Back Detail, Woman, Short, Firm, Diamond-Shaped Face, Dark Skin, Brunette Hair, Hazel Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Middle Part Bangs, soft breasts, Stud earrings, fuchsia cream lipstick, Submerged in Mud
Black Leather Bralette and Panty Set, Woman, Average Height, Athletic, Triangular Face, Fair Skin, Blonde Hair, teal Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Loose Curls, round breasts, Stud earrings, gloss metallic lipstick, Coated in Glycerin
Green Silk Bralette and Panty Set, Gal, Short, Lean, Oval Face, Dark Skin, Honey Blonde Hair, coral Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Bouncy Curls, saggy breasts, Faux gauge earrings, cream sheer lipstick, Drenched in Cooking oil
Green Satin Robe with Lace Trim, Songstress, Average Height, in shape, Heart-Shaped Face, Dark Skin, Light Brown Hair, pink Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Straight Updo, full breasts, Drop earrings, rust sheer lipstick, Soaking in Water
Black Lace Bustier, Charmer, Tall, Toned, Triangular Face, Tan Skin, Black Hair, turquoise Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Messy Beach Waves, augmented breasts, Faux gauge earrings, black gloss lipstick, Saturated in Milk
Silver Sequin Bralette, Phenom, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Silver Hair, Green Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Afro, saggy breasts, Huggie earrings, brown matte lipstick, Steeped in Ball pit filled with water beads
Black Mesh Bodysuit with Embroidered Flowers, Superwoman, Average Height, Thin, Triangular Face, Fair Skin, Dark Brown Hair, teal Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Twisted Bun, asymmetrical breasts, grape cream lipstick, Engulfed in Cooking oil
Black Lace Bustier, Dame, Short, Slim, Heart-Shaped Face, Fair Skin, Blonde Hair, Blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sleek Straight Hair, firm breasts, Hoop earrings, rust metallic lipstick, Immersed in Saltwater
Green Satin Robe with Lace Trim, Gal, Average Height, Athletic, Triangular Face, Dark Skin, Strawberry Blonde Hair, blue Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Fringed Bangs, large breasts, Stud earrings, pink matte lipstick, Engulfed in Bubble solution
Lavender Lace Bra and Panty Set , Escort, Tall, Thin, Square Face, Olive Skin, White Hair, yellow Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, soft breasts, light pink sheer lipstick, Drenched in Baby oil
Pink Lace Garter Slip with Matching Thong, Chanteuse, Short, Slim, Square Face, Fair Skin, Brunette Hair, Blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Blunt Bangs, large breasts, Huggie earrings, cherry matte lipstick, Saturated in Water
Silver Silk Bra and Panty Set with Garter Belt, Phenom, Short, Lean, Triangular Face, Dark Skin, Gray Hair, pink Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Curled Bob, perky breasts, teal matte lipstick, Surrounded by Bubble solution
Mint Green Mesh Teddy , Temptress, Short, Lean, Triangular Face, Olive Skin, Chestnut Hair, grey-blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, French Braid, large breasts, fuchsia satin lipstick, Plunged in Soda
Navy Blue Satin Garter Belt with Suspenders , Phenom, Tall, Skinny, Diamond-Shaped Face, Dark Skin, White Hair, blue Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Short Afro, full breasts, Hoop earrings, hot pink sheer lipstick, Smothered in Water
Grey Faux Leather Corset , Enchantress, Short, Thin, Diamond-Shaped Face, Fair Skin, Red Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, firm breasts, Stud earrings, magenta velvet lipstick, Saturated in Glycerin
Black Sheer Teddy with Floral Applique, Lady, Tall, Thin, Square Face, Olive Skin, Silver Hair, grey Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, High Messy Bun, firm breasts, Dangle earrings, terracotta gloss lipstick, Coated in Mud
Black Leather Bralette and Panty Set, Goddess, Tall, Skinny, Triangular Face, Tan Skin, Honey Blonde Hair, Green Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Double Braided Crown, round breasts, Hoop earrings, cherry gloss lipstick, Smothered in Glycerin
Black Sheer Teddy with Floral Applique, Diva, Tall, Thin, Oval Face, Tan Skin, Strawberry Blonde Hair, turquoise Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Long Straight Hair, perky breasts, Dangle earrings, rose matte lipstick, Saturated in Milk
Green Sequin Slip Dress with Thigh-High Slits, Heiress, Average Height, Firm, Oval Face, Fair Skin, Red Hair, coral Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Bun, perky breasts, Clip-on earrings, hot pink velvet lipstick, Engulfed in Cooking oil
Green Sequin Slip Dress with Thigh-High Slits, Songstress, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, red Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Viking Braid, asymmetrical breasts, Hoop earrings, brown matte lipstick, Steeped in Gelatin
Purple Velvet Slip with Lace Trim, Babe, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, black Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, large breasts, Threader earrings, fuchsia velvet lipstick, Engulfed in Liquid soap
Fuchsia Mesh Halter Bra and Panty Set, Enigma, Tall, Athletic, Triangular Face, Dark Skin, Red Hair, coral Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Bouncy Curls, small breasts, Huggie earrings, red sheer lipstick, Steeped in Gelatin
Black Leather Bralette and Panty Set, Baroness, Short, Skinny, Heart-Shaped Face, Tan Skin, Auburn Hair, Blue Eyes with Green Flecks, Wide Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, French Roll, round breasts, Dangle earrings, mauve stain lipstick, Marinating in Soda
Brown Strappy Bodysuit, Female Viking, Tall, Thin, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Gray Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Long Wavy Hair, augmented breasts, Cuff earrings, orange matte lipstick, Coated in Ball pit filled with water beads
Maroon Satin and Lace Corset , Songstress, Short, Narrow Hips, Oval Face, Olive Skin, Light Brown Hair, brown Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, French Twist, round breasts, Huggie earrings, coral stain lipstick, Saturated in Soda
Brown Strappy Bodysuit, Female Viking, Tall, Slim, Round Face, Olive Skin, Gray Hair, hazel Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, large breasts, Stud earrings, coral stain lipstick, Drenched in Soda
Charcoal Sheer Bra and Panty Set, Duchess, Short, Toned, Heart-Shaped Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Beach Waves, augmented breasts, Drop earrings, rust velvet lipstick, Surrounded by Non-toxic slime
White Lace Bralette and Boyshorts Set, Babe, Short, Toned, Round Face, Dark Skin, Red Hair, Green Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Straight Bob, asymmetrical breasts, Threader earrings, grape sheer lipstick, Plunged in Quicksand
Purple Velvet Slip with Lace Trim, Mistress, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Blonde Hair, Amber Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Middle Part Bangs, large breasts, Faux gauge earrings, light pink cream lipstick, Drenched in Foam
Green Satin and Lace Garter Belt with Matching Thong, Gal, Tall, Wide Hips, Heart-Shaped Face, Olive Skin, Auburn Hair, coral Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Wavy Layered Bob, saggy breasts, Stud earrings, rust cream lipstick, Plunged in Melted chocolate
Orange Satin Slip, Madam, Short, Wide Hips, Round Face, Olive Skin, Red Hair, hazel Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Side-Swept Bangs, large breasts, Faux gauge earrings, magenta cream lipstick, Plunged in Soda
Teal Velvet Chemise with Ruffles , Madame, Average Height, Lean, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, saggy breasts, Hoop earrings, rust gloss lipstick, Smothered in Quicksand
Red Mesh Chemise with Strappy Back Detail, Enigma, Tall, Narrow Hips, Diamond-Shaped Face, Dark Skin, Gray Hair, light blue Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Updo, natural breasts, Cuff earrings, teal metallic lipstick, Plunged in Foam
White Lace Bralette and Boyshorts Set, Countess, Tall, Wide Hips, Triangular Face, Dark Skin, Strawberry Blonde Hair, aquamarine Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Updo, asymmetrical breasts, Stud earrings, coral sheer lipstick, Immersed in Glycerin
Yellow Lace Halter Bralette and Thong Set, Songstress, Short, Thin, Square Face, Dark Skin, Light Brown Hair, black Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Braided Half Up, full breasts, beige stain lipstick, Floating in Glycerin
Purple Mesh Babydoll with Matching G-String, Woman, Short, in shape, Diamond-Shaped Face, Olive Skin, Light Brown Hair, ruby Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, High Chignon, saggy breasts, Drop earrings, light pink metallic lipstick, Coated in Cooking oil
Black Leather Bralette and Panty Set, Countess, Tall, Skinny, Heart-Shaped Face, Fair Skin, Black Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sock Bun, asymmetrical breasts, Clip-on earrings, light pink sheer lipstick, Soaking in Foam
Purple Velvet Robe with Fur Trim , Gal, Tall, Lean, Square Face, Tan Skin, White Hair, amethyst Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Low Messy Bun, asymmetrical breasts, Clip-on earrings, magenta matte lipstick, Floating in Gelatin
White Sheer Teddy with Lace Trim, Chanteuse, Tall, Wide Hips, Square Face, Dark Skin, Strawberry Blonde Hair, silver Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Messy Beach Waves, augmented breasts, Faux gauge earrings, teal satin lipstick, Engulfed in Baby oil
Cream Sequin Bra and Pant Set, Heiress, Short, Slim, Triangular Face, Tan Skin, Honey Blonde Hair, yellow Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Shaggy Cut, perky breasts, rose velvet lipstick, Surrounded by Gelatin
Cream Sequin Bra and Pant Set, Mistress, Short, Slim, Oval Face, Dark Skin, Brunette Hair, brown Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Curled Bob, firm breasts, Huggie earrings, terracotta satin lipstick, Smothered in Cooking oil
Pink Lace Garter Slip with Matching Thong, Madam, Short, Athletic, Round Face, Olive Skin, Light Brown Hair, jade Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Beach Waves, soft breasts, Faux gauge earrings, terracotta stain lipstick, Marinating in Milk
Mint Green Mesh Teddy , Empress, Average Height, Athletic, Oval Face, Dark Skin, White Hair, green Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Curled Bob, asymmetrical breasts, Huggie earrings, pink sheer lipstick, Saturated in Foam
Green Satin Robe with Lace Trim, Belle, Tall, Toned, Square Face, Olive Skin, Black Hair, blue Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Long Curled Updo, full breasts, grape matte lipstick, Soaking in Quicksand
Purple Velvet Robe with Fur Trim , Mistress, Average Height, Thin, Round Face, Tan Skin, Blonde Hair, Brown Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Long Curly Hair, soft breasts, Threader earrings, hot pink gloss lipstick, Steeped in Liquid soap
Black Leather Bralette and Panty Set, Gal, Average Height, Skinny, Oval Face, Olive Skin, Dark Brown Hair, brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Messy Beach Waves, round breasts, Stud earrings, grape gloss lipstick, Saturated in Syrup
Green Sequin Slip Dress with Thigh-High Slits, Enchantress, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Auburn Hair, purple Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Voluminous Waves, round breasts, Dangle earrings, plum satin lipstick, Plunged in Cooking oil
Mint Green Mesh Teddy , Siren, Short, Skinny, Square Face, Dark Skin, Golden Blonde Hair, red Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Triple Braided Crown, round breasts, Threader earrings, beige satin lipstick, Saturated in Liquid soap
Crimson Velvet Cami and Short Set , Belle, Tall, in shape, Square Face, Dark Skin, Chestnut Hair, Hazel Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Tousled Waves, firm breasts, light pink matte lipstick, Steeped in Baby oil
Black Sheer Teddy with Floral Applique, Maven, Tall, Athletic, Square Face, Dark Skin, Dark Brown Hair, peach Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Sock Bun, asymmetrical breasts, Faux gauge earrings, black cream lipstick, Immersed in Mud
Pink Floral Corset, Chanteuse, Short, in shape, Triangular Face, Dark Skin, Golden Blonde Hair, aquamarine Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Long Curly Hair, firm breasts, Huggie earrings, hot pink matte lipstick, Saturated in Milk
Pink Lace Garter Slip with Matching Thong, Miss, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Gray Hair, ruby Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, High Chignon, augmented breasts, Dangle earrings, magenta sheer lipstick, Steeped in Cooking oil
Turquoise Sheer Chemise with Cutouts, Belle, Tall, Thin, Square Face, Tan Skin, Black Hair, Gray Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, perky breasts, Hoop earrings, mauve matte lipstick, Engulfed in Melted chocolate
Black Mesh Bodysuit with Embroidered Flowers, Heiress, Tall, Firm, Heart-Shaped Face, Tan Skin, White Hair, Brown Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Curled Bob, augmented breasts, Huggie earrings, rust metallic lipstick, Engulfed in Quicksand
Red Satin Kimono with Lace Sleeve Detail, Female Warrior, Short, Skinny, Round Face, Fair Skin, Dark Brown Hair, red Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Wavy Hair, Fishbone Braid, saggy breasts, Dangle earrings, magenta gloss lipstick, Saturated in Quicksand
Red Mesh Chemise with Strappy Back Detail, Vixen, Average Height, Skinny, Triangular Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Bun, augmented breasts, Clip-on earrings, brown satin lipstick, Submerged in Cooking oil
Green Sequin Slip Dress with Thigh-High Slits, Femme fatale, Tall, Firm, Diamond-Shaped Face, Fair Skin, Light Brown Hair, silver Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Coarse Hair, Long Curly Hair, large breasts, Clip-on earrings, peach matte lipstick, Soaking in Mud
Ivory Lace Teddy, Seductress, Average Height, Toned, Triangular Face, Dark Skin, Auburn Hair, Sapphire Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Curly Hair, Waterfall Braid, large breasts, Clip-on earrings, gloss satin lipstick, Steeped in Water
Black Cutout Bodysuit with Zipper, Babe, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Chignon, large breasts, Stud earrings, rust metallic lipstick, Smothered in Baby oil
Green Silk Bralette and Panty Set, Femme fatale, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, light blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, full breasts, Threader earrings, teal cream lipstick, Coated in Cooking oil
Blue Satin and Lace Cami and Short Set, Trailblazer, Short, Thin, Square Face, Fair Skin, Brunette Hair, Gray Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Curly Afro, firm breasts, Stud earrings, light pink sheer lipstick, Engulfed in Quicksand
Purple Velvet Bra and Panty Set with Lace Trim, Starlet, Tall, Narrow Hips, Round Face, Olive Skin, Auburn Hair, red Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Fluffy Afro, augmented breasts, Stud earrings, orange stain lipstick, Engulfed in Gelatin
Yellow Lace Garter Belt , Dame, Short, Fit, Heart-Shaped Face, Fair Skin, Auburn Hair, amber Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wedding Updo, natural breasts, Threader earrings, brown stain lipstick, Saturated in Mud
Purple Velvet Slip with Lace Trim, Starlet, Average Height, Wide Hips, Square Face, Olive Skin, Red Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Wavy Bob, asymmetrical breasts, Drop earrings, lavender matte lipstick, Floating in Non-toxic slime
Black Lace Bustier, Trailblazer, Short, Athletic, Square Face, Tan Skin, Blonde Hair, green Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Long Straight Hair, full breasts, Stud earrings, mauve metallic lipstick, Coated in Water
Brown Strappy Bodysuit, Female Warrior, Short, in shape, Square Face, Dark Skin, Dark Brown Hair, Blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, asymmetrical breasts, Stud earrings, black stain lipstick, Engulfed in Water
Purple Mesh Babydoll with Matching G-String, Femme fatale, Short, Skinny, Round Face, Fair Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Bun, augmented breasts, Cuff earrings, red metallic lipstick, Marinating in Milk
Charcoal Sheer Bra and Panty Set, Enchantress, Average Height, Fit, Oval Face, Fair Skin, Honey Blonde Hair, Green Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Curly Afro, perky breasts, Cuff earrings, gloss gloss lipstick, Steeped in Liquid soap
Tan Faux Leather Slip Dress, Sensation, Tall, Wide Hips, Oval Face, Tan Skin, White Hair, ice blue Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, French Twist, small breasts, Faux gauge earrings, cherry metallic lipstick, Saturated in Quicksand
Red Mesh Chemise with Strappy Back Detail, Femme fatale, Average Height, Thin, Square Face, Tan Skin, Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, French Twist, asymmetrical breasts, Faux gauge earrings, soft pink satin lipstick, Steeped in Milk
Green Satin Robe with Lace Trim, Charmer, Average Height, Lean, Round Face, Fair Skin, Blonde Hair, black Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, French Braid, full breasts, Stud earrings, mauve sheer lipstick, Surrounded by Baby oil
Green Sequin Slip Dress with Thigh-High Slits, Enchantress, Average Height, Wide Hips, Round Face, Fair Skin, Blonde Hair, Green Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Triple Braided Crown, soft breasts, Hoop earrings, brown gloss lipstick, Smothered in Bubble solution
White Sheer Teddy with Lace Trim, Escort, Short, Fit, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, red Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, perky breasts, Threader earrings, lavender matte lipstick, Saturated in Mud
Crimson Velvet Cami and Short Set , Siren, Short, Slim, Oval Face, Fair Skin, Auburn Hair, purple Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Donut Bun, natural breasts, Threader earrings, lavender metallic lipstick, Plunged in Water
White Sheer Teddy with Lace Trim, Starlet, Short, Wide Hips, Triangular Face, Olive Skin, Golden Blonde Hair, dark brown Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, French Twist, large breasts, Threader earrings, green cream lipstick, Drenched in Milk
Red Mesh Chemise with Strappy Back Detail, Seductress, Average Height, Slim, Oval Face, Dark Skin, Black Hair, jade Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Messy Bun, large breasts, Clip-on earrings, red matte lipstick, Plunged in Bubble solution
Blue Sheer Babydoll with Satin Trim, Starlet, Tall, in shape, Square Face, Olive Skin, Brunette Hair, light blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Fishtail Crown Braid, large breasts, Cuff earrings, green stain lipstick, Surrounded by Glycerin
Black Cutout Bodysuit with Zipper, Siren, Tall, Lean, Round Face, Dark Skin, Dark Brown Hair, silver Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Bun, natural breasts, Cuff earrings, magenta gloss lipstick, Floating in Mud
Yellow Mesh Bralette and High-Waisted Panty Set, Phenom, Tall, in shape, Round Face, Tan Skin, Auburn Hair, grey-blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Long Straight Hair, natural breasts, Drop earrings, rose satin lipstick, Surrounded by Soda
Turquoise Sheer Chemise with Cutouts, Femme fatale, Average Height, Fit, Diamond-Shaped Face, Dark Skin, Brunette Hair, black Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, small breasts, Stud earrings, lavender stain lipstick, Submerged in Quicksand
Blue Strappy Bodysuit with Cutouts, Gal, Short, Narrow Hips, Round Face, Fair Skin, Strawberry Blonde Hair, pink Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Bob with Bangs, small breasts, Cuff earrings, orange velvet lipstick, Soaking in Milk
Crimson Velvet Cami and Short Set , Woman, Average Height, Firm, Round Face, Fair Skin, Platinum Blonde Hair, turquoise Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Blunt Bangs, natural breasts, Faux gauge earrings, cream cream lipstick, Soaking in Soda
White Sheer Teddy with Lace Trim, Luminary, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Green Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Updo, full breasts, Faux gauge earrings, burgundy metallic lipstick, Floating in Soda
Gold Strappy Bodysuit, Woman, Average Height, Narrow Hips, Square Face, Fair Skin, Auburn Hair, coral Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Low Updo, firm breasts, Cuff earrings, hot pink sheer lipstick, Floating in Glycerin
Yellow Lace Halter Bralette and Thong Set, Trailblazer, Tall, Firm, Square Face, Dark Skin, White Hair, black Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Long Curly Hair, firm breasts, Dangle earrings, rust velvet lipstick, Smothered in Quicksand
Green Sequin Slip Dress with Thigh-High Slits, Miss, Average Height, Firm, Square Face, Fair Skin, Brunette Hair, aquamarine Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, saggy breasts, Hoop earrings, gloss matte lipstick, Soaking in Gelatin
Purple Mesh Babydoll with Matching G-String, Madame, Short, Lean, Round Face, Tan Skin, Dark Brown Hair, blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Side French Braid, perky breasts, Hoop earrings, cream sheer lipstick, Submerged in Ball pit filled with water beads
Lavender Lace Bra and Panty Set , Chanteuse, Short, Fit, Oval Face, Olive Skin, Blonde Hair, Brown Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, augmented breasts, Huggie earrings, burgundy gloss lipstick, Smothered in Syrup
Ivory Lace Teddy, Miss, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Tousled Waves, asymmetrical breasts, Hoop earrings, mauve matte lipstick, Immersed in Water
Crimson Velvet Cami and Short Set , Vixen, Short, Firm, Triangular Face, Olive Skin, Blonde Hair, Green Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Stacked Bob, augmented breasts, Huggie earrings, coral metallic lipstick, Steeped in Milk
Silver Sequin Bralette, Heiress, Short, Athletic, Square Face, Dark Skin, Golden Blonde Hair, blue Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, High Chignon, asymmetrical breasts, Stud earrings, terracotta stain lipstick, Saturated in Bubble solution
Turquoise Sheer Chemise with Cutouts, Sensation, Average Height, Fit, Square Face, Tan Skin, Silver Hair, light blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Beach Waves, saggy breasts, Huggie earrings, beige velvet lipstick, Plunged in Glycerin
